266	https://tinyurl.com/microbesigslides	Link to share PDF files as (PMID.pdf):	https://www.dropbox.com/request/BNpgquRv3F0jjvlSar6x	https://tinyurl.com/microbesigs																																																																																																																																							
Dropbox	PubMed	PMID	source within paper	Free-form description	significance threshold	LDA Score >	threshold corrected for MHT? yes/no	control (unexposed) sample size	case (exposed) sample size	case definition 	study design	matched on	confounders controlled for	antibiotics exclusion	Country	host species	body_site	condition	sequencing type	16S variable region	sequencing platform	date of curation	curator	revision 	contrast (list control group last)	UP or DOWN	statistical test	Pielou	Shannon index	Chao1	Simpson	Inverse Simpson	Richness	taxon 1	taxon 2	taxon 3	taxon 4	taxon 5	taxon 6	taxon 7	taxon 8	taxon 9	taxon 10	taxon 11	taxon 12	taxon 13	taxon 14	taxon 15	taxon 16	taxon 17	taxon 18	taxon 19	taxon 20	taxon 21	taxon 22	taxon 23	taxon 24	taxon 25	taxon 26	taxon 27	taxon 28	taxon 29	taxon 30	taxon 31	taxon 32	taxon 33	taxon 34	taxon 35	taxon 36	taxon 37	taxon 38	taxon 39	taxon 40	taxon 41	taxon 42	taxon 43	taxon 44	taxon 45	taxon 46	taxon 47	taxon 48	taxon 49	taxon 50	taxon 51	taxon 52	taxon 53	taxon 54	taxon 55	taxon 56	taxon 57	taxon 58	taxon 59	taxon 60	taxon 61	taxon 62	taxon 63	taxon 64	taxon 65	taxon 66	taxon 67	taxon 68	taxon 69	taxon 70	taxon 71	taxon 72	taxon 73	taxon 74	taxon 75	taxon 76	taxon 77	taxon 78	taxon 79	taxon 80	taxon 81	taxon 82	taxon 83	taxon 84	taxon 85	taxon 86	taxon 87	taxon 88	taxon 89	taxon 90	taxon 91	taxon 92	taxon 93	taxon 94	taxon 95	taxon 96	taxon 97	taxon 98	taxon 99	taxon 100	taxon 101	taxon 102	taxon 103	taxon 104	taxon 105	taxon 106
Dropbox	PubMed	30675188	Figure 3	Genera strikingly different in gut microbiota associated with hepatits B and non-hepatitis virus related hepatocellular carcinoma	0.05		yes	33	35	case= patients underwent viral serologic testing (HBsAg and HCVAb)	cross-sectional observational, not case-control	NA	NA	NA	China	human	feces	hepatocellular carcinoma	16S	V4	Illumina	2020-02-26	Fatima Zohra		HBV related HCC vs. healthy control	UP	Mann-Whitney (Wilcoxon)	NA	NO	NO	NA	NA	NA	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus																																																																																																						
Dropbox	PubMed	30675188	Figure 3	Genera strikingly different in gut microbiota associated with hepatits B and non-hepatitis virus related hepatocellular carcinoma	0.05		yes	33	35	case= patients underwent viral serologic testing (HBsAg and HCVAb)	cross-sectional observational, not case-control	NA	NA	NA	China	human	feces	hepatocellular carcinoma	16S	V4	Illumina	2020-02-26	Fatima Zohra		HBV related HCC vs. healthy control	DOWN	Mann-Whitney (Wilcoxon)	NA	NO	NO	NA	NA	NA																																																																																																										
Dropbox	PubMed	30675188	Figure 3	Genera strikingly different in gut microbiota associated with hepatits B and non-hepatitis virus related hepatocellular carcinoma	0.05		yes	22	35	case= patients underwent viral serologic testing (HBsAg and HCVAb)	cross-sectional observational, not case-control	NA	NA	NA	China	human	feces	hepatocellular carcinoma	16S	V4	Illumina	2020-02-26	Fatima Zohra		non-HBV non-HCV vs. HBV related HCC	UP	Mann-Whitney (Wilcoxon)	NA	NO	NO	NA	NA	NA	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Buchnera	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospira	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ventriosum	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella																																																																																																					
Dropbox	PubMed	30675188	Figure 3	Genera strikingly different in gut microbiota associated with hepatits B and non-hepatitis virus related hepatocellular carcinoma	0.05		yes	22	35	case= patients underwent viral serologic testing (HBsAg and HCVAb)	cross-sectional observational, not case-control	NA	NA	NA	China	human	feces	hepatocellular carcinoma	16S	V4	Illumina	2020-02-26	Fatima Zohra		non-HBV non-HCV vs. HBV related HCC	DOWN	Mann-Whitney (Wilcoxon)	NA	NO	NO	NA	NA	NA																																																																																																										
Dropbox	PubMed																																																																																																																																										
Dropbox	PubMed	31528836	Table 1	ANCOM results of selected taxa prevalent in at least 25% of the samples obtained from college freshmen in the almond and cracker groups at baseline and 8 wk after the intervention	0.05		yes	35	38	case = students eating crackers	randomized controlled trial	NA	BMI category, sex, fat mass percentage, waist circumference, systolic and diastolic blood pressures, fasting total, HDL, and LDL cholesterol, fasting triglycerides, fasting insulin, fasting glucose, total energy intake, dietary carbohydrate percentage, dietary fat percentage, dietary protein percentage, dietary fiber, total saturated fat, MUFAs, PUFAs, oleic acid, linoleic acid, and α-tocopherol	NA	United States of America	human	feces	diet	16S	V4-V5	Illumina	2020-02-28	Lora Kasselman		lower fiber (cracker) vs. higher fiber (almonds) - interaction by time	UP	ANCOM	NA	NO	NO	NO	NA	NO	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis																																																																																																									
Dropbox	PubMed	31528836	Table 1	ANCOM results of selected taxa prevalent in at least 25% of the samples obtained from college freshmen in the almond and cracker groups at baseline and 8 wk after the intervention	0.05		yes	35	38	case = students eating crackers	randomized controlled trial	NA	BMI category, sex, fat mass percentage, waist circumference, systolic and diastolic blood pressures, fasting total, HDL, and LDL cholesterol, fasting triglycerides, fasting insulin, fasting glucose, total energy intake, dietary carbohydrate percentage, dietary fat percentage, dietary protein percentage, dietary fiber, total saturated fat, MUFAs, PUFAs, oleic acid, linoleic acid, and α-tocopherol	NA	United States of America	human	feces	diet	16S	V4-V5	Illumina	2020-02-28	Lora Kasselman		lower fiber (cracker) vs. higher fiber (almonds) - interaction by time	DOWN	ANCOM	NA	YES	YES	NO	NA	YES																																																																																																										
Dropbox	PubMed	31528836	Table 1	ANCOM results of selected taxa prevalent in at least 25% of the samples obtained from college freshmen in the almond and cracker groups at baseline and 8 wk after the intervention	0.05		yes	35	38	case = students eating crackers	randomized controlled trial	NA	BMI category, sex, fat mass percentage, waist circumference, systolic and diastolic blood pressures, fasting total, HDL, and LDL cholesterol, fasting triglycerides, fasting insulin, fasting glucose, total energy intake, dietary carbohydrate percentage, dietary fat percentage, dietary protein percentage, dietary fiber, total saturated fat, MUFAs, PUFAs, oleic acid, linoleic acid, and α-tocopherol	NA	United States of America	human	feces	diet	16S	V4-V5	Illumina	2020-02-28	Lora Kasselman		week 8 vs baseline	UP	ANCOM	NA	NA	NA	NA	NA	NA	k__Bacteria|p__Tenericutes|c__Mollicutes|o__RF39	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospira																																																																																																								
Dropbox	PubMed	31528836	Table 1	ANCOM results of selected taxa prevalent in at least 25% of the samples obtained from college freshmen in the almond and cracker groups at baseline and 8 wk after the intervention	0.05		yes	35	38	case = students eating crackers	randomized controlled trial	NA	BMI category, sex, fat mass percentage, waist circumference, systolic and diastolic blood pressures, fasting total, HDL, and LDL cholesterol, fasting triglycerides, fasting insulin, fasting glucose, total energy intake, dietary carbohydrate percentage, dietary fat percentage, dietary protein percentage, dietary fiber, total saturated fat, MUFAs, PUFAs, oleic acid, linoleic acid, and α-tocopherol	NA	United States of America	human	feces	diet	16S	V4-V5	Illumina	2020-02-28	Lora Kasselman		week 8 vs baseline	DOWN	ANCOM	NA	NA	NA	NA	NA	NA	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__S24.7	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter																																																																																																						
Dropbox	PubMed	31528836	Table 1	ANCOM results of selected taxa prevalent in at least 25% of the samples obtained from college freshmen in the almond and cracker groups at baseline and 8 wk after the intervention	0.05		yes	35	38	case = students eating crackers	randomized controlled trial	NA	BMI category, sex, fat mass percentage, waist circumference, systolic and diastolic blood pressures, fasting total, HDL, and LDL cholesterol, fasting triglycerides, fasting insulin, fasting glucose, total energy intake, dietary carbohydrate percentage, dietary fat percentage, dietary protein percentage, dietary fiber, total saturated fat, MUFAs, PUFAs, oleic acid, linoleic acid, and α-tocopherol	NA	United States of America	human	feces	diet	16S	V4-V5	Illumina	2020-02-28	Lora Kasselman		lower fiber (cracker) vs. higher fiber (almonds) 	UP	ANCOM	NA	NA	NA	NA	NA	NA																																																																																																										
Dropbox	PubMed	31528836	Table 1	ANCOM results of selected taxa prevalent in at least 25% of the samples obtained from college freshmen in the almond and cracker groups at baseline and 8 wk after the intervention	0.05		yes	35	38	case = students eating crackers	randomized controlled trial	NA	BMI category, sex, fat mass percentage, waist circumference, systolic and diastolic blood pressures, fasting total, HDL, and LDL cholesterol, fasting triglycerides, fasting insulin, fasting glucose, total energy intake, dietary carbohydrate percentage, dietary fat percentage, dietary protein percentage, dietary fiber, total saturated fat, MUFAs, PUFAs, oleic acid, linoleic acid, and α-tocopherol	NA	United States of America	human	feces	diet	16S	V4-V5	Illumina	2020-02-28	Lora Kasselman		lower fiber (cracker) vs. higher fiber (almonds) 	DOWN	ANCOM	NA	NA	NA	NA	NA	NA	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella																																																																																																									
Dropbox	PubMed																																																																																																																																										
Dropbox	PubMed	29791788	Figure 4, Figure S1, Figure s2	Taxonomic analysis of forehead microbiota using LEfSe between older and younger european women 	0.05	3	no	17	17	case = aging	case-control			1 month	France	human	skin of body	age	16S	V3-V4	Illumina	2020-03-01	Rimsha Azhar		older age European women vs. younger age	UP	LEfSe	NA	YES	NO	NA	NA	NO	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Arthrobacter	k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Sneathia	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	k__Bacteria|p__Proteobacteria																																																																																														
Dropbox	PubMed	29791788	Figure 4, Figure S1, Figure s2	Taxonomic analysis of forehead microbiota using  LEfSe between older and younger european women 	0.05	3	no	17	17	case = aging	case-control			1 month	France	human	skin of body	age	16S	V3-V4	Illumina	2020-03-01	Rimsha Azhar		older age European women vs. younger age	DOWN	LEfSe	NA	NO	NO	NA	NA	NO	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Propionibacterium	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales																																																																																																							
Dropbox	PubMed																																																																																																																																										
Dropbox	PubMed	30006660	Figure 2	Comaprison between UTI patients and Health controls using linear discriminant analysis		3	no	69	37	case = urinary track infection	case-control	sex, age 	NA	NA	Finland	human	feces	urinary track infection	16S	V4-V5	Ion Torrent	2020-03-02	Rimsha Azhar		urinary track infection vs. healthy controls	UP	LEfSe	NA	NO	NO	NA	NA	NA	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania|s__Holdemania_massiliensis	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_flexus	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_asparagiforme	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_dispar	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_glucerasea																																																																																																				
Dropbox	PubMed	30006660	Figure 2	Comaprison between UTI patients and Health controls using linear discriminant analysis		3	no	69	37	case = urinary track infection	case-control	sex, age 	NA	NA	Finland	human	feces	urinary track infection	16S	V4-V5	Ion Torrent	2020-03-02	Rimsha Azhar		urinary track infection vs. healthy controls	DOWN	LEfSe	NA	NO	NO	NA	NA	NA	k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Finegoldia|s__Finegoldia_magna	k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Finegoldia	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_timonensis	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parainfluenzae	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	g___massilia_aurea	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Massilia	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_tertium	g__clostridium_lituseburense	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae																																																																																												
Dropbox	PubMed																																																																																																																																										
Dropbox	PubMed	26729566	Table 3	OTUs with significantly different occurrence among towns	0.05		yes	20	20	case= high gastric cancer risk	case-control	age, sex	NA	NA	Colombia	human	stomach	gastric cancer	16S	NA	Illumina	2020-03-02	Valentina Pineda		high gastric cancer risk vs. low gastric cancer risk patients 	UP	Metastats	NA	NA	NA	NA	NA	NA	k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia|s__Leptotrichia_wadei	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_sp																																																																																																								
Dropbox	PubMed	26729566	Table 3	OTUs with significantly different occurrence among towns	0.05		yes	20	20	case= high gastric cancer risk	case-control	age, sex	NA	NA	Colombia	human	stomach	gastric cancer	16S	NA	Illumina	2020-03-02	Valentina Pineda		high gastric cancer risk vs. low gastric cancer risk patients 	DOWN	Metastats	NA	NA	NA	NA	NA	NA	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_sp	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_flavescens	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium_sp	TM7-genera incertae sedis	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_sp	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_oris	k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga|s__Capnocytophaga_gingivalis	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Haematobacter|s__Haematobacter_sp	k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp	k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_oralis	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_sp	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_sp																																																																																										
Dropbox	PubMed																																																																																																																																										
Dropbox	PubMed	29411528	Figure 5b	Alterations of gut microbiota of patients with acquired immune deficiency syndrome	0.05	3	no	35	33	case=patients infected with HIV	case-control	age, gender	NA	4 weeks	China	human	feces	HIV infection	16S	V4	Illumina	2020-03-04	Fatima Zohra		HIV infected patients vs. healthy controls	UP	LEfSe	NA	NO	NA	NO	NA	NO	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_vestibularis	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_gnavus	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	k__Bacteria|p__Firmicutes|c__Bacilli	k__Bacteria|p__Proteobacteria	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales																																																																																											
Dropbox	PubMed	29411528	Figure 5b	Alterations of gut microbiota of patients with acquired immune deficiency syndrome	0.05	3	no	35	33	case=patients infected with HIV	case-control	age, gender	NA	4 weeks	China	human	feces	HIV infection	16S	V4	Illumina	2020-03-04	Fatima Zohra		HIV infected patients vs. healthy controls	DOWN	LEfSe	NA	YES	NA	YES	NA	YES	k__Bacteria|p__Bacteroidetes	k__Bacteria|p__Bacteroidetes|c__Bacteroidia	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	k__Bacteria|p__Firmicutes|c__Clostridia	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	k__Bacteria|p__Firmicutes|c__Negativicutes	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium																																																																																				
Dropbox	PubMed	29411528	Figure 6b	Effects of HIV transmission route of fecal microbiota in patients with HIV	0.05	3	no	35	4	case=homosexual patients infected with HIV	case-control	age, gender	NA	4 weeks	China	human	feces	HIV infection	16S	V4	Illumina	2020-03-04	Fatima Zohra		HIV infected homosexual patients vs. healthy controls	UP	LEfSe	NA	NA	NA	NA	NA	NA	k__Bacteria|p__Firmicutes|c__Bacilli	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium|s__Erysipelatoclostridium_ramosum																																																																																																				
Dropbox	PubMed	29411528	Figure 6b	Effects of HIV transmission route of fecal microbiota in patients with HIV	0.05	3	no	35	4	case=homosexual patients infected with HIV	case-control	age, gender	NA	4 weeks	China	human	feces	HIV infection	16S	V4	Illumina	2020-03-04	Fatima Zohra		HIV infected homosexual patients vs. healthy controls	DOWN	LEfSe	NA	NA	NA	NA	NA	NA	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	k__Bacteria|p__Firmicutes|c__Clostridia	k__Bacteria|p__Bacteroidetes	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	k__Bacteria|p__Bacteroidetes|c__Bacteroidia	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	k__Bacteria|p__Firmicutes|c__Negativicutes	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium																																																																																											
Dropbox	PubMed	29411528	Figure 6b	Effects of HIV transmission route of fecal microbiota in patients with HIV	0.05	3	no	35	3	case=Intravenous drug abuse patients infected with HIV	case-control	age, gender	NA	4 weeks	China	human	feces	HIV infection	16S	V4	Illumina	2020-03-04	Fatima Zohra		Intravenous drug abuse HIV patients vs. healthy controls	UP	LEfSe	NA	NA	NA	NA	NA	NA	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_gnavus																																																																																																		
Dropbox	PubMed	29411528	Figure 6b	Effects of HIV transmission route of fecal microbiota in patients with HIV	0.05	3	no	35	3	case=Intravenous drug abuse patients infected with HIV	case-control	age, gender	NA	4 weeks	China	human	feces	HIV infection	16S	V4	Illumina	2020-03-04	Fatima Zohra		Intravenous drug abuse HIV patients vs. healthy controls	DOWN	LEfSe	NA	NA	NA	NA	NA	NA																																																																																																										
Dropbox	PubMed	29411528	Figure 6d	relative abundance bacteria with significance between heterosexual and homosexual subjects	0.05	3	no	26	4	case= homosexual patients infected with HIV	case-control	age, gender	NA	4 weeks	China	human	feces	HIV infection	16S	V4	Illumina	2020-03-04	Fatima Zohra		homosexual vs. hetersexual 	UP	LEfSe	NA	NA	NA	NA	NA	NA																																																																																																										
